ID ,Grade ,Reading Fall '18 RIT,Reading Fall '18 %ile,Reading Typical RIT Growth Points,Reading Tiered RIT Growth Points,Reading Winter '18 GOAL Score,Reading Winter '18 RIT,Reading Winter '18 %ile,Reading Fall Score to Winter Growth,"Reading 
Met Winter Goal?",Reading Spring '19 GOAL Score,Reading Spring '19 RIT,Reading Spring '19 %ile,Reading Fall to Spring RIT Growth,Reading Met Spring Goal?,Math Fall '18 RIT,Math Fall '18 %ile,Math Typical RIT Growth Points,Math Tiered RIT Growth Points,Math Winter '18 GOAL Score,Math Winter '18 RIT,Winter '18 %ile,Math Fall to Winter Growth,Math Met Winter Goal?,Math Spring '19 GOAL Score,Math Spring '19 RIT,Math Spring '19 %ile,Math Fall to Spring RIT Growth,Math Met Spring Goal? ,Race/Ethnicity,IDEA Indicator,LEP Status,Section 504 Status,Economically Disadvantaged Status,Language Code,English Language Proficiency Level,Migrant Status,First Entry Date Into US School,LEP Entry Date,LEP Exit Date,Primary Disability Type,Enrolled School ID,Enrolled District ID,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
5001,5,217,78,5,6,220,224,85,7,TRUE,223,221,73,4,FALSE,220,74,11,17,228,231,84,11,TRUE,237,230,70,10,FALSE,Hispanic or Latino,,,N,Y,1,EARLY INTERMEDIATE,N,7162012,9102012,2012018,,43693690106633,01066330000000,1,2530,24,Standard Met,Above Standard,Near Standard,Near Standard,Near Standard,1,2624,17,Standard Exceeded,Above Standard,Above Standard,Above Standard
5002,5,189,15,9,18,198,211,56,22,TRUE,207,216,61,27,TRUE,213,56,11,17,221,223,68,10,TRUE,230,227,63,14,FALSE,Hispanic or Latino,,,N,Y,1,,N,8202014,9012013,6132016,,43693690106633,01066330000000,1,2505,24,Standard Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2581,18,Standard Exceeded,Above Standard,Above Standard,Near Standard
5003,5,182,7,11,22,193,212,58,30,TRUE,204,213,53,31,TRUE,211,51,11,17,219,221,63,10,TRUE,228,233,76,22,TRUE,Hispanic or Latino,,,N,Y,1,EARLY ADVANCED,N,8152013,9012013,6132018,,43693690106633,01066330000000,1,2556,25,Standard Met,Above Standard,Above Standard,Above Standard,Near Standard,1,2599,17,Standard Exceeded,Above Standard,Near Standard,Above Standard
5004,5,213,70,6,9,218,222,81,9,TRUE,222,224,79,11,TRUE,216,64,11,17,224,234,89,18,TRUE,233,234,78,18,TRUE,Hispanic or Latino,,,N,Y,1,EARLY ADVANCED,N,8082013,9012013,6142017,,43693690106633,01066330000000,1,2541,24,Standard Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2594,17,Standard Exceeded,Above Standard,Near Standard,Near Standard
5005,5,216,76,5,6,219,220,77,4,TRUE,222,214,56,-2,FALSE,205,35,11,19,215,216,51,11,TRUE,224,224,56,19,FALSE,Hispanic or Latino,,,N,Y,0,,N,11262011,,,,43693690106633,01066330000000,1,2503,24,Standard Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2497,20,Standard Nearly Met,Near Standard,Near Standard,Near Standard
5006,5,224,89,4,5,227,222,81,-2,FALSE,229,220,71,-4,FALSE,231,92,11,14,238,235,90,4,FALSE,245,244,91,13,FALSE,Hispanic or Latino,,,N,Y,1,,N,8212012,9012013,6132016,,43693690106633,01066330000000,1,2603,26,Standard Exceeded,Above Standard,Near Standard,Near Standard,Above Standard,1,2700,29,Standard Exceeded,Above Standard,Above Standard,Above Standard
5007,5,197,30,8,7,201,203,34,6,TRUE,204,206,34,9,TRUE,199,21,11,22,210,221,63,22,TRUE,221,221,48,22,TRUE,Hispanic or Latino,,Y,N,Y,1,INTERMEDIATE,N,8172013,8152013,,,43693690106633,01066330000000,1,2498,24,Standard Nearly Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2540,18,Standard Met,Near Standard,Near Standard,Near Standard
5008,5,209,58,7,11,214,209,50,0,FALSE,220,212,50,3,FALSE,207,40,11,19,217,215,48,8,FALSE,226,224,56,17,FALSE,Hispanic or Latino,,Y,N,Y,1,EARLY ADVANCED,N,8242013,9012013,,,43693690106633,01066330000000,1,2502,24,Standard Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2560,18,Standard Met,Above Standard,Near Standard,Below Standard
5009,5,194,23,9,18,203,199,25,5,FALSE,212,202,25,8,FALSE,199,21,11,22,210,207,28,8,FALSE,221,210,24,11,FALSE,Hispanic or Latino,Y,,N,,0,,N,8172013,,,OHI,43693690106633,01066330000000,1,2447,24,Standard Nearly Met,Below Standard,Near Standard,Near Standard,Below Standard,1,2519,19,Standard Nearly Met,Near Standard,Near Standard,Near Standard
5010,5,187,12,10,20,197,202,32,15,TRUE,207,207,37,20,TRUE,198,19,11,22,209,203,20,5,FALSE,220,210,24,12,FALSE,Hispanic or Latino,,Y,N,Y,1,INTERMEDIATE,N,8172014,9012013,,,43693690106633,01066330000000,1,2486,24,Standard Nearly Met,Near Standard,Below Standard,Near Standard,Near Standard,1,2447,24,Standard Not Met,Near Standard,Below Standard,Below Standard
5011,5,213,70,6,9,218,211,56,-2,FALSE,222,215,58,2,FALSE,225,84,11,14,232,244,97,19,TRUE,239,246,93,21,TRUE,Hispanic or Latino,,Y,N,Y,1,INTERMEDIATE,N,8122012,9012013,,,43693690106633,01066330000000,1,2532,24,Standard Met,Above Standard,Near Standard,Near Standard,Near Standard,1,2606,17,Standard Exceeded,Above Standard,Above Standard,Near Standard
5012,5,195,26,8,11,200,202,32,7,TRUE,206,209,42,14,TRUE,204,32,11,19,214,201,16,-3,FALSE,223,212,28,8,FALSE,Hispanic or Latino,,Y,N,Y,1,INTERMEDIATE,N,8012013,8282013,,,43693690106633,01066330000000,1,2487,24,Standard Nearly Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2476,22,Standard Nearly Met,Near Standard,Near Standard,Below Standard
5013,5,195,26,8,14,202,198,23,3,FALSE,209,206,34,11,FALSE,203,30,11,19,213,214,45,11,TRUE,222,214,32,11,FALSE,Hispanic or Latino,,Y,N,Y,1,EARLY ADVANCED,N,9162014,8212013,,,43693690106633,01066330000000,1,2452,24,Standard Nearly Met,Near Standard,Above Standard,Below Standard,Near Standard,1,2530,19,Standard Met,Near Standard,Near Standard,Near Standard
5014,5,181,6,11,22,192,199,25,18,TRUE,203,197,16,16,FALSE,201,25,11,19,211,212,40,11,TRUE,220,214,32,13,FALSE,Hispanic or Latino,,Y,N,Y,1,EARLY INTERMEDIATE,N,8242013,8282013,,,43693690106633,01066330000000,1,2417,25,Standard Not Met,Below Standard,Near Standard,Near Standard,Near Standard,1,2530,19,Standard Met,Near Standard,Near Standard,Near Standard
5015,5,215,74,5,8,219,223,83,8,TRUE,223,223,77,8,TRUE,221,76,11,14,228,236,91,15,TRUE,235,245,92,24,TRUE,Asian,,,N,Y,28,,N,8012013,9012013,6132016,,43693690106633,01066330000000,1,2556,25,Standard Met,Near Standard,Near Standard,Near Standard,Near Standard,1,2700,29,Standard Exceeded,Above Standard,Above Standard,Above Standard
